Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Start Time of Year (hr),Start time (hr),End Time of Year (hr),Type
1E9,3.0,0.262,FAUC,0.662,58.65,10.649999999999999,58.65436666666667,1.0
1E9,3.0,0.262,FAUC,0.662,58.71,10.71,58.71436666666667,1.0
1E9,3.0,0.131,FAUC,0.461,58.8,10.799999999999997,58.80218333333333,1.0
1E9,3.0,0.262,FAUC,2.189,58.85,10.850000000000001,58.85436666666667,1.0
1E9,3.0,0.262,FAUC,0.8640000000000001,58.86,10.86,58.86436666666667,1.0
1E9,3.0,0.262,FAUC,1.094,58.88,10.880000000000003,58.88436666666667,1.0
1E9,3.0,0.39299999999999996,FAUC,1.1520000000000001,58.96,10.96,58.96655,1.0
1E9,3.0,0.262,FAUC,0.8640000000000001,59.01,11.009999999999998,59.01436666666667,1.0
1E9,3.0,0.131,FAUC,1.2670000000000001,59.09,11.090000000000003,59.09218333333334,1.0
1E9,3.0,0.39299999999999996,FAUC,1.44,59.11,11.11,59.11655,1.0
1E9,3.0,0.131,FAUC,1.2670000000000001,59.14,11.14,59.142183333333335,1.0
2E6,3.0,0.42700000000000005,FAUC,0.40299999999999997,59.269999999999996,11.269999999999996,59.277116666666664,1.0
1E9,3.0,0.262,FAUC,0.43200000000000005,59.34,11.340000000000003,59.34436666666667,1.0
2E6,3.0,0.285,FAUC,0.28800000000000003,59.47,11.469999999999999,59.47475,1.0
2E6,3.0,0.285,FAUC,0.691,59.49,11.490000000000002,59.49475,1.0
1E9,3.0,0.262,FAUC,1.8570000000000002,59.51,11.509999999999998,59.51436666666667,2.0
1E9,3.0,0.131,FAUC,2.08,59.54,11.54,59.542183333333334,2.0
1E9,3.0,0.39299999999999996,FAUC,1.44,59.56,11.560000000000002,59.56655,1.0
1E9,3.0,0.262,FAUC,0.922,59.63,11.630000000000003,59.63436666666667,1.0
1E9,3.0,0.131,FAUC,1.7280000000000002,59.64,11.64,59.642183333333335,1.0
2E6,3.0,0.142,FAUC,0.461,59.66,11.659999999999997,59.662366666666664,1.0
2E6,3.0,0.285,FAUC,0.40299999999999997,59.76,11.759999999999998,59.76475,1.0
1E9,3.0,0.7859999999999999,FAUC,1.008,59.94,11.939999999999998,59.9531,1.0
1E9,3.0,0.262,FAUC,0.662,60.88,12.880000000000003,60.88436666666667,1.0
1E9,3.0,0.262,FAUC,0.662,61.1,13.100000000000001,61.10436666666667,1.0
1E9,3.0,0.262,FAUC,1.411,62.37,14.369999999999997,62.37436666666667,1.0
1E9,3.0,0.524,FAUC,1.8430000000000002,62.4,14.399999999999999,62.40873333333333,1.0
1E9,3.0,0.131,FAUC,2.131,62.42,14.420000000000002,62.42218333333334,1.0
1E9,3.0,0.262,FAUC,0.8640000000000001,62.44,14.439999999999998,62.44436666666667,1.0
1E9,3.0,0.262,FAUC,1.7280000000000002,62.45,14.450000000000003,62.45436666666667,1.0
1E9,3.0,0.524,FAUC,1.6130000000000002,62.480000000000004,14.480000000000004,62.488733333333336,1.0
1E9,3.0,0.655,FAUC,3.352,62.5,14.5,62.51091666666667,1.0
1E9,3.0,0.131,FAUC,0.8640000000000001,62.59,14.590000000000003,62.59218333333334,1.0
1E9,3.0,0.262,FAUC,0.43200000000000005,62.61,14.61,62.61436666666667,1.0
1E9,3.0,0.524,FAUC,2.059,62.69,14.689999999999998,62.69873333333333,1.0
1E9,3.0,0.39299999999999996,FAUC,0.998,62.8,14.799999999999997,62.806549999999994,1.0
1E9,3.0,0.131,FAUC,0.8640000000000001,62.9,14.899999999999999,62.90218333333333,1.0
2E6,3.0,0.42700000000000005,FAUC,1.459,62.92,14.920000000000002,62.92711666666667,2.0
1E9,3.0,6.287999999999999,SHWR,2.0,64.02,16.019999999999996,64.1248,1.0
1E9,3.0,1.179,FAUC,1.8619999999999999,65.51,17.510000000000005,65.52965,1.0
1E9,3.0,0.262,FAUC,0.8640000000000001,65.53999999999999,17.539999999999992,65.54436666666666,1.0
2E6,3.0,0.7120000000000001,FAUC,0.449,65.98,17.980000000000004,65.99186666666667,1.0
2E6,3.0,7.546,SHWR,1.3319999999999999,66.46000000000001,18.460000000000008,66.58576666666667,1.0
1E9,3.0,0.262,FAUC,0.8640000000000001,67.41,19.409999999999997,67.41436666666667,1.0
1E9,3.0,1.4409999999999998,FAUC,1.136,67.6,19.599999999999994,67.62401666666666,1.0
2E6,3.0,0.142,FAUC,0.28800000000000003,68.38,20.379999999999995,68.38236666666666,1.0
1E9,3.0,1.31,FAUC,1.423,69.1,21.099999999999994,69.12183333333333,1.0
1E9,3.0,1.048,FAUC,0.54,69.14,21.14,69.15746666666666,1.0
1E9,3.0,0.39299999999999996,FAUC,0.73,69.19,21.189999999999998,69.19655,1.0
1E9,3.0,0.39299999999999996,FAUC,1.44,69.22,21.22,69.22655,1.0
1E9,3.0,0.131,FAUC,0.8640000000000001,69.28999999999999,21.289999999999992,69.29218333333333,1.0
1E9,3.0,0.524,FAUC,1.08,69.32,21.319999999999993,69.32873333333333,1.0
1E9,3.0,0.262,FAUC,0.8640000000000001,69.77,21.769999999999996,69.77436666666667,1.0
2E4,4.0,0.49700000000000005,FAUC,0.634,72.02,0.01999999999999602,72.02828333333333,1.0
2E4,4.0,0.49700000000000005,FAUC,0.8640000000000001,72.15,0.15000000000000568,72.15828333333334,1.0
2E4,4.0,0.49700000000000005,FAUC,0.72,72.18,0.18000000000000682,72.18828333333335,1.0
1E2,4.0,0.131,FAUC,0.5760000000000001,77.68,5.680000000000007,77.68218333333334,1.0
1E2,4.0,0.262,FAUC,0.9790000000000001,77.7,5.700000000000003,77.70436666666667,1.0
2E4,4.0,0.373,FAUC,0.34600000000000003,79.44,7.439999999999998,79.44621666666666,1.0
2E4,4.0,0.373,FAUC,0.768,81.65,9.650000000000006,81.65621666666667,1.0
2E4,4.0,0.49700000000000005,FAUC,0.878,81.67,9.670000000000002,81.67828333333334,1.0
2E4,4.0,1.8000000000000682,SHWR,1.975,81.68,9.680000000000007,81.71000000000001,3.0
2E4,4.0,1.492,SHWR & FAUC,2.954,81.71000000000001,9.710000000000008,81.73486666666668,3.0
2E4,4.0,0.907999999999447,SHWR,1.975,81.73486666666668,9.734866666666676,81.75,3.0
2E4,4.0,1.119,SHWR & FAUC,2.5570000000000004,81.75,9.75,81.76865,3.0
2E4,4.0,-0.8429999999989946,SHWR,1.975,81.76865,9.768649999999994,81.75460000000001,3.0
2E4,4.0,0.995,FAUC,0.85,81.81,9.810000000000002,81.82658333333333,1.0
2E4,4.0,0.49700000000000005,FAUC,0.7340000000000001,81.86,9.86,81.86828333333334,1.0
2E4,4.0,0.995,FAUC,0.8059999999999999,81.87,9.870000000000005,81.88658333333333,1.0
2E4,4.0,1.119,FAUC,0.909,81.9,9.900000000000006,81.91865,1.0
2E4,4.0,1.865,FAUC,1.1059999999999999,82.03999999999999,10.039999999999992,82.07108333333332,1.0
2E4,4.0,0.249,FAUC,0.835,83.47,11.469999999999999,83.47415,1.0
2E4,4.0,0.833,DWSH,0.478,83.75,11.75,83.76388333333334,1.0
2E4,4.0,1.6669999999999998,DWSH,0.597,83.77,11.769999999999996,83.79778333333333,1.0
2E4,4.0,2.86,SHWR,2.0,83.81,11.810000000000002,83.85766666666667,1.0
2E4,4.0,1.6669999999999998,DWSH,0.569,83.88,11.879999999999995,83.90778333333333,1.0
2E4,4.0,0.622,FAUC,0.484,83.94,11.939999999999998,83.95036666666667,1.0
2E4,4.0,1.6669999999999998,DWSH,0.5589999999999999,84.46000000000001,12.460000000000008,84.48778333333334,1.0
2E4,4.0,1.5,DWSH,0.578,84.53999999999999,12.539999999999992,84.565,1.0
2E4,4.0,1.5,DWSH,0.574,84.62,12.620000000000005,84.64500000000001,1.0
1E2,4.0,0.39299999999999996,FAUC,0.8059999999999999,85.2,13.200000000000003,85.20655000000001,1.0
1E2,4.0,1.31,FAUC,1.3019999999999998,86.94,14.939999999999998,86.96183333333333,1.0
1E2,4.0,0.655,FAUC,2.915,87.21000000000001,15.210000000000008,87.22091666666667,1.0
1E2,4.0,0.131,FAUC,0.7490000000000001,87.33,15.329999999999998,87.33218333333333,1.0
1E2,4.0,1.4409999999999998,FAUC,1.2930000000000001,88.6,16.599999999999994,88.62401666666666,1.0
1E2,4.0,0.131,FAUC,2.246,88.75,16.75,88.75218333333333,2.0
